,text,target
0,"Хотелось бы более качественную уборку и возможность покушать в кафе, нет возможности оплатить проживание по карте",0
1,"В номере почему-то пахло плесенью, номер требует ремонта,, у дверей в ванную  снизу отслаивается мебельная пленка, обнаружили таракана, нет небольшого освещения в комнате, только одна люстра, которая слишком ярко светит, иногда это неудобно.",0
2,"Расположение прекрасное, чистота, красивый дизайн, вежливый персонал. Всё отлично. Теперь только Винтерфелл!",1
3,"Несоответствие между тем, что указано на сайте и действительностью. Нигде не указано, что кровать чердачного типа. Забраться туда ещё ладно, а вот слезать обратно - треш. Знала бы, даже не стала рассматривать такой вариант, так как мне физически сложно. На сайте указано наличие кондиционера, что вполне логично, если нет окна. В реальности кондиционер есть в коридоре, в комнатке очень душно спать. При заезде в номере не было полотенца, обратилась к администратору, она сказала будет но позже. Вернувшись вечером увидела, что полотенца так и нет. В конце дня наконец привезли одно маленькое полотенце, а не набор полотенец, как указано на сайте. 
Нет возможности сделать горячий чай.",0
4,"Расположение рядом магазины, кафе, транспорт, персонал сервиса, бельë, кровати, санузлы, электронный ключ, Боткинская больница в двух шагах, кому надо, свой ресторан, неплохой дежурный вариант.",1
5,"Соотношение цена-качество
В стоимость номера входит хоть и скромный, но завтрак
Наличие собственной ванной комнаты",1
6,"Останавливались на 2 дня: сначала в двухместном номере с окном, потом без окна. Общее впечатление очень хорошее.) Чисто, довольно уютно. Соотношение цена-качество устроило.
Из нюансов: из-за того, что окна закрываются неплотно, немного поддувало (некритично, особенно летом, но имейте в виду).",1
7,"Ковровое покрытие в номере в ужасном состоянии, всё в подтеках. В ванной нет даже полочки, чтоб положить зубную пасту и щетку. Кран течёт со всех щелей. В туалете не развернуться, хотя и ванная очень узкая. В номере есть шкаф, но висят всего 1 плечики, хотя нас двое было. Нет москитной сетки, на 9 эт.летают комары. На улице жара, вентилятора или кондиционера тоже нет. Пружинный матрас, в бока просто впивались эти пружины.",0
8,Чисто. Отличное расположение. Для меня -необычная концепция отеля. Но переночевать пару ночей отлично,1
9,"Система заселения, к которой оказались не готовы. Стояли на крохотной площадке  подъезда с сумками и сырыми зонтами (был дождь) и оплачивали по квитанции он лайн, это и считается оплата при заселении.Мешали тем, кто спускался сверху или заходил в подьезд. Хорошо, что были одни на заселение, тк вечером видели, как несколько пар также мучались в коридоре с оплатой. Далее попали в коридор, где был наш номер, а там опять у дверей выясняем, что надо фото  паспортов и все данные внести в регистрацию и отправить и ждать, пока там где-то оператор  отработает и пришлет код на вход в номер. Пожелание- прописать процедуру сразу  на сайте, чтобы люди понимали, что их ждёт, а если вы с наличкой, то увы-новая проблема.",0
10,"Персонал очень вежливый, быстро обслужили и заселили. Попросили второе одеяло в комнату - сразу же принесли.",1
11,"Отель расположен в 5 минутах ходьбы от станций метро и МЦК, очень удобно. Очень демократичные цены. В номере есть всё необходимое - холодильник, просторный шкаф с вешалками, телевизор (я его не включала), письменный стол, кресло, зеркало. Постельное белье чистое и выглаженное. Кровать удобная.",1
12,"С утра довольно прохладно, а вот вечером вентиляция не спасала - дышать нечем. 
Мини-претензия - в душевой ОЧЕНЬ короткая шторка. В результате брызги усеивают весь пол в помещении, обувь напротив лучше не ставить.",0
13,"Цена соответствует предоставленным услугам.
Плохо,что нет в номере чайника,но есть кулер на этаже и вода в нем не всегда горячая.",0
14,"При открытых окнах немного мешает музыка (каждый день одна и та же). Были в жаркую погоду, окна выходили во двор, где много зелени и тень, что компенсировало отсутствие кондиционера, а так было бы душно в номере.",0
15,Немного твердоватый диван. Маленькие подушки. Нет утюга.,0
16,"Одеяло на двуспальной кровати одно, хоть и большое.",0
17,"Очень близко от метро,  хорошо добираться до центра, нет никаких насекомых и следов от них8, постельное белье чистое",1
18,"Хостел находится на 5 этаже без лифта), очень скрипучие и неудобные лестницы
Администратор часто отсутствует на ресепшене",0
19,"Отличное расположение-близость метро и большого количества заведений, чистота пастельного, удобство матрасов, много туалетов и душевых, наличие фенов и полотенец",1
20,-,0
21,"Показалось чуть душновато в комнате вечером, но к утру уже хорошо",0
22,"Теперь то,что бы я добавила из минусов. Нет тумбочки для вещей, нет места куда спрятать чемодан, коврика в туалете нет, очень маленький столик, Душ от туалетной зоны отделяет ступенька в пару сантиметров высотой. Поэтому когда включаешь в душе воду, много попадает за пределы. Но это все не критично.  В целом  все понравилось и все устроило.",0
23,"Понравилось все! Отель выбрали по рекомендации друзей. Чисто, уютно, без излишек. Хорошая столовая и буфет с вкусной едой и кофе, с доброжелательными работниками. Спасибо им! У мужа был Юбилей (для этого и приезжали в Москву), ему подарили фирменную кружку. Приятно.",1
24,"Мы из бывшего СССР! Поэтому обстановка порадовала! Номер маленький ,уютный,теплый! Постель белоснежная! Чистота в номере. Ночь без шума и гама!
Админы девушки спокойные,доброжелательные!
Всё очень понравилось!
Единственное нехватает микроволновки! 
Хотелось бы утром тёплый завтрак",1
25,"До метро ВДНХ 5 минут неспешным шагом, тихое место, есть столовая внутри, бесплатная камера хранения. 
Супермаркет через дорогу.
Персонал вежливый и доброжелательный.",1
26,"Very good hotel for price. Not far from metro, metro going straight to Kremlin - where is many museums.",1
27,"Шумоизоляция, вернее её отсутствие. Я слышала абсолютно каждое слово, когда мой сосед говорил по телефону (а из-за громкости его динамика я и ответы с того конца провода слышала); слышно как сосед забирается по лестнице на свой второй уровень, как он ворочается в кровати, звук открытия/закрытия его двери воспринимается как звук от двери собственного номера, из-за чего непроизвольно вздрагиваешь. Стоит отметить, что даже наушники не помогали, через них все эти звуки всё равно пробиваются.
Работа горничной (или уборщицы, я честно не знаю как правильно должность назвать) оставляет желать лучшего. В середине дня могли быть не обновлены рулоны туалетной бумаги, из-за чего приходилось возвращаться в номер и искать собственную салфеточку (такое себе удовольствие, когда приспичило). Мыло было только на общих раковинах, в душевых никакого мыла/геля для душа нет (хотя в описании на сайте заявлено). Также лично мне досталось всего одно полотенце, хотя заявлен ""набор полотенец"". Не критично, но неприятно. 
В самом номере маловато места, куда можно было бы нормально сложить вещи: есть только небольшой столик и табуретка. Почти вся одежда или лежала в сумке, или висела на нескольких крючках у входа (к слову, расположение этих крючков тоже не самое удобное).",0
28,"Отличный хостел в центре столицы!!!Чистота!персонал вежливый ,бытовые условия отличные!городской транспорт в шаговой доступности,метро,автобусырядом много уютных кафе,и не менее привлекательных магазинчиков на все случаи жизни!Рекомендую всем путешествующим гостям столицы",1
29,"Хорошая, чистая гостиница. Идеально за свои деньги подойдет тем, кому номер нужен чисто поспать. Для длительного нахождения номер тесноват. Хотя я снимал самый дешевый вариант без окон.",1
30,"Минус первый этаж, окна можно было бы перед клиентом снаружи и протереть, перед окном гранит и пропылесосить, защитные колпаки сделать новыми, вентилируемыми, креативными. Свет слабый, мало ламп, хотя люстры позволяют поставить все лампы, но к примеру меньшей мощности для равномерного освещения, натядной потолок повреждëн, пульт от телевизора работает плохо, отсутствует задняя крышка, кондиционер не работает, хотя уже июнь, плюс на цокольном этаже дышать не чем ни при закрытых окнах, ни при открытых, плюс грязь за окном, очень темно в коридорах. Входная группа, флаги прекрасно, но их надо содержать в презентабельном виде.",0
31,"Шумоизоляция. Вечером особенно слышно громкость телевизора у соседей, но это решается быстро звонком администратору.",0
32,Это лучший хостел. Чисто. Доступ 24/7. Удобные кровати. Остальные хостелы по сравнению с этим - жуткие клоповники.,1
33,Нет,0
34,"Своя мини кухня (холодильник, микроволновка, чайник, плита - одна комфорка, микроволновка, всё это позволяет приготовить еду.
Плюс рядом Теремок, Лента, Шоколадница, пятёрочка и пр.",1
35,"Уже не первый раз останавливаюсь в этой гостинице. Вежливый администратор, удобное расположение,  соотношение цена/качество. РЕКОМЕНДУЮ ДЛЯ ПРОЖИВАНИЯ.",1
36,"Нет розеток около прикроватных тумбочек, все розетки далеко. Это не удобно.",0
37,"Отсутствие чая/кофе/сахара на кухне, бумаги в туалете и полочек в душе.",0
38,"Хороший отель, в шаговой доступности больницы, рядом ВТБ арена, там же метро.Напротив отеля магазин перекрёсток.Брали проживание с завтраками, всё самое основное в меню было. В номере есть всё основное: чайник, вода, чай, кофе, холодильник, банные принадлежности, порадовали чистые полотенца белые, а не как в некоторых отелях застиранные серые.",1
39,"Душновато в +25, особенно спать
Раздолбанные ванные комнаты",0
40,Минусов у отеля не нашла. Только одни плюсы,0
41,"В ванной комнате болтается душевой кран, это не критично, но починить стоило бы.",0
42,"Очень хорошие номера, вежливый персонал, чисто. Бронирую номера уже не первый раз и всегда всё отлично.",1
43,"Забронировали на сайте,заселили в тот номер,что был на фото,был включён завтрак (вполне приличный),в номере чисто,сухо, влажности нет.Остановилась на этом отеле по отзывам т.к.нет тараканов и клопов и этого мы не увидели.Метро,магазины в шаговой доступности,режим тишины соответствует нормам.",1
44,Очень маленький туалет. Плохо работал слив в ванной.,0
45,"Не работал дозатор мыла в номере, попросила заменить, сказали, что не могут. Не работал кофейный аппарат. Для 4☆ не очень разнообразное питание.",0
46,"- в номере было чисто, спать комфортно
- есть москитные сетки на окнах
- сотрудники отеля меняли полотенца и выносили мусор в номере
- не было посторонних запахов
- рядом есть магазины магнит, пятерочка, вкусвилл",1
47,"Нормальное проживание за демократичную стоимость. Чайник есть, телевизор показывает, вода горячая холодная без перебоев, на 8м этаже где жили тихо и спокойно.",1
48,"Из минусов: достаточно громко работает вытяжка в душевой, но это так, если придираться)",0
49,"Номер люкс соответствует описанию, 2 комнаты,ванная,халат и тапочки присутствуют,2 телевизора,холодильник,фен все в рабочем состоянии, на 1 этаже столовая с приличной едой.",1
50,"За эти деньги проживание в центре,да ещё в таком районе,как Таганка это просто находка! Большое спасибо администратору за вежливое обращение. В следующий раз остановимся только здесь и будем рекомендовать всем знакомым.",1
51,"Туалетная бумага очень большая редкость в туалетах)) и мусорки каждый раз переполнены в WC, а они открытые и воняют  лужа воды почти всегда от душа вокруг унитаза) почаще убираться в туалетах надо быХолодильник ещё забит, не нашли в нём места, маленький для такого количества номеров. Фен местный не включался..ни один (в розетку включала, на кнопку тоже)",0
52,"При заселении в номер ощущался запах от тараканьего мора (возможно из расположенной ниже этажом "" Пятерочки"". но тем не менее",0
53,"Жаль, что нет раннего заезда/позднего выезда. Заезжали в 8 утра, а выезд был в 3 ночи, пришлось оплачивать сутки дополнительно. У нас повышенные требования к чистоте, по этому не смогу поставить хорошую оценку. Шторы в номере нуждаются в стирке! Ванной комнате при уборке не уделяют должного внимания. Сантехника чистая, тут нареканий нет. Но пол оставили грязным, или забыли, или в принципе не убрали. В номере присутствовал запах сигарет, слабый, но был, хотя курение запрещено на территории всего отеля.",0
54,-,0
55,"Не понравилось в одноместном номере, в некоторых кстати дверь стояла, между комнатой и туалетом, жил сначала в 415 - там при заходе сразу койко-место, смотрите направо - сразу туалет и душевая, минус данной конструкции - не было двери) но после жил в 412, если не ошибаюсь, там дверь была)
Так бы хотелось ещё тапочки естественно))
Ну и душевую кабину огороженную, скользкий пол, все дела - нужно быть аккуратнее..) а так в целом, за такие деньги... Можно, если на сутки-двое, рядом центр сразу, очень удобно. Но если планируете долгосрочную поездку, есть места получше, не центр, придётся на метро покататься разок другой лишний, но денег сэкономите всё равно больше!)",0
56,"Очень удобно расположенный хостел на пересечении голубой и синей ветки, до метро буквально минута ходьбы. Индувидуальные номера маленькие, но здорово оборудованные, душевые все чистые. Порой могут быть проблемы со звукоизоляцией, особенно из-за открывания дверей (поэтому просят не шуметь в ночные часы), но в принципе это не особо мешает.",1
57,"Замечание к сотрудникам, которые убирают номер: практически ""ворвались"" в номер 
( открыли дверь своим ключом снаружи, не дожидаясь моего ответа) с предложением об уборке мусора, хотя я заселилась всего пару часов назад. Все таки нужно стучать и немного подождать, пока ответят, как то неловко получилось (.",0
58,"Цена и качество соответствует. Персонал вежливый. Кровати в номере удобные. Утром на завтрак была каша, бутерброд с колбасой и чай. До метро пешком 5 минут. Мы остались довольны",1
59,"Заселение-выселение очень быстрое,расположение в тихом ,спальном районе,буквально в 200 метрах большой тихий парк.Если достали шум и суета  города то это отличное место отдохнуть в тишине.",1
60,"У нас в номере не было холодильника, приходилось пользоваться общим. Достаточно крутая лестница, ведущая в столовую и к холодильнику (с детками надо быть осторожными).",0
61,"Останавливаюсь в этом хостеле уже второй раз.
Замечательное место,удобное расположение. Можно никуда не ездить и обойти весь центр. Рядом есть много интересных заведений",1
62,"Ночевала в самом дешевом номере, потому что реально нужно было только переночевать. Белье чистое, полотенца на месте, спала прекрасно, место тихое. Телевизор не работал, но он мне был и не нужен. Близко от метро. То есть, если ваше пребывание в Москве не предполагает постоянного нахождения в номере, то все хорошо.",1
63,"Добавьте на сайт подробное описание как добраться до аппартаментов от метро: подъезд такой то, этаж такой то, направо/налево. А то не сразу нашли.",0
64,"Замечательное место! Начну с того, что в номере сразу очень прохладно и почищен воздух какой то озоновой машиной. Кайф!
Также есть колонка Алиса, я сразу включила любимую музыку! Была приятно удивлена.
Ну и заселили меня пораньше (номер был уже убран), без проблем выслав свежий код для заселения.",1
65,"Этот хостел тянет на 5 звёзд. Всем рекомендую без раздумий ехать сюда. Стерильная чистота, удобнейшие кровати с новым постельным, куча мест для вещей, сей, комната для вещей, коаоркинг, шикарная кухня с кучей шкафов, посуды, холодильников , новые мощные плиты. Туалет, душ, все новое и чистое, убираются постоянно.",1
66,Совсем немного. Под кроватью был мусор.,0
67,"Для бюджетного проживания вполне себе сносно, белье чистое, шампунь мыло выдают, телевизор старенький но показывал, чайник чашки были, есть гладильная на третьем этаже, очереди не было. Если вы не сноб, то здесь нормальное проживание за демократичную стоимость)",1
68,Оплата наличными,0
69,Минусов не заметила.,0
70,"Очень уставшие номера морально и физически, но все чистенько, номера просторные. Белое не плохое пастельное белье. В номерах нет чайников, но нам дали попользоваться. В целом соответствует цена - качество.",1
71,"Отличный хотел, все чисто, алкоголиков сразу гонят. Кухня чистая. Есть зона отдыха с множеством зарядок. Постель меняют раз в три дня или раз в неделю. Расположение тоже удобное.",1
72,"Tv отсутствуют каналы нужны цифровые приставки в номера,местами не горят лампочки в номерах.",0
73,"Очень хорошее расположение гостиницы.Тихо,спокойно,на территории свой парк Охраняемая стоянка для автомобиля. Обслуживание быстрое, культурное. Мы проживали в 6 корпусе в номере комфорт-класса с двумя раздельными кроватями. Всё чисто, удобно. Уборку и смену полотенец предлагают каждый день. Завтрак ""шведский стол"" : вкусно, сытно, разнообразно.",1
74,"Такого нет. Если придираться - немного поскрипывала кровать. Но мы так уставали за день, что это нам не мешало ))",0
75,"Одна розетка на номер - это мало. Администратору не стоит работать с людьми в принципе, это мрак",0
76,"Не понравилось что  из крана течет холодная вода и очень долго нужно сливать воду,чтобы она нагрелась",0
77,Отремонтировать  держатель для душа.,0
78,"Холодно из-за открытых окон в коридорах. Администраторы не самые радушные. На мою просьбу показать, что и где здесь, сказали сами смотрите, у нас отчет. В итоге,  один из жильцов показал мне где туалеты и душевые и остальное.",0
79,"Окно во двор, тишина, кровать и удобный матрац, за это отдельное спасибо! Смена полотенец каждый день, нам с сыном понравилось, метро рядом, красивый парк, будем останавливаться здесь еще, спасибо вам большое!",1
80,"мне понравилось, все хорошо, рекомендую и рядом все обьекты находятся. Если на несколько дней, то можно остановиться.",1
81,"Огромные кровати, много личного пространства
Супер расположение
Можно поработать на кухне
При достаточной высокой загрузке хостела, в ваннах все равно было много места и мало людей",1
82,"В январе жили пять дней было тихо, комфортно, в июле - 8 дней было очень шумно, какая-то компания иностранцев вставала в шесть утра каждый день и не умолкала до позднего вечера.",0
83,Все прекрасно,0
84,"Не то что не понравилось.. но в комнате было душновато (без окна в общем-то логично). Потом стала приоткрывать дверь в коридор  и так было хорошо. Общая зона  это кухня, поэтому если вы например рассчитываете работать, может быть не очень удобно  постоянно кто-то что-то греет, режет и жуёт)) Но я устраивалась работать на подоконнике в коридоре напротив номеров, там есть розетки и нет людей.",0
85,"Расположение, кухня, номера.
Был забавный случай в столовой - встал налить себе кофе, когда обернулся - на столе все уже было убрано) Подошел к сотруднику, сказал, что еще не доел, тарелку вернули)
Улыбнуло)",1
86,"Первое, что, конечно же, понравилось это цена за проживание и расположение хостела. Аккуратный, свежий и светлый ремонт -это отдельный повод для похвалы.  А также хочу отметить чистоту и порядок не только в туалетах и душевых, но и в самих комнатах. 
Отдельное спасибо хочется сказать милой и вежливой девушке на ресепшене.",1
87,"В номере немного присутствовал неприятный запах, видимо из-за полуподвального размещения! Удивило что зимой бывают мухи и очень много, на завтраке где кушаешь висят ловушки-липучки как будто в придорожном кафе!",0
88,"Так как я снимал самый дешевый вариант, то все недостатки нахождения были связаны с этим. У меня была тесная комната в которой была только кровать, раскладной столик и зеркало. Было трудно развернуться, так как расстояние в проходе между кроватью и стеной меньше метра. Окон не было, в следствии чего при длительном нахождении в номере становилось очень душно. Советую потратить немного больше денег и взять номер попросторней и с окном. Что я в следующий раз и сделаю.",0
89,"Всё понравилось, только думаю нужно тапочки ещё одноразовые выдавать)",0
90,"Неплохой отель,останавливаюсь уже во второй раз. Нравится, что недалеко от метро, достаточно чисто. В номере есть микроволновка, чайник, чашки, ложки,нож. Можно сделать чай) , пакетики лежат в номере.",1
91,"Я проживал в разных хостелах, в основном дешевле рублей на 200, но всё было как-то хуже в одном или нескольких аспектах. Здесь же хоть и малость дороже, но есть всё для комфорта.",1
92,"Понравилось все! За 3 раза посещения данного отеля, каких то негативных моментов, ситуаций не возникало. Особенно радует цена, очень приемлемо.",1
93,"Сложно понять как вводить коды при заезде, советую сделать инструкцию с шагами для удобства гостей",0
94,"Находится в центре, чсе близко, есть вмя необходимая инфраструк ура вокруг, внутри все чисто, обязательно вернусь, понравилось !",1
95,"Искала отель для семьи:двое взрослых и ребенок 4лет,без предоставления спального места . Местоположение отличное для туристов . Есть WiFi
,Есть столовая ,которая работает с 7-19. Есть бар ,который работает до 12:00. Пицца там очень вкусная и большая. В номер можно заказать еду. Фото на сайте соответствует",1
96,"Плюс - расположение около метро. Обслуживание: все доброжелательно и внимательно, персонал помогает решать возникающие вопросы",1
97,Требуется ремонт.,0
98,"Приехали поздно, встретили хорошо. В номере чисто. В шаговой доступности Красная площадь. Хорошее расположение.",1
99,Немного душно в комнате.,0
100,"Все понравилось очень! Рекомендую и для длительного проживания! После некоторого опыта проживания в мини-отелях, это просто прекрасно!",1
101,"Для меня слишком мягкий матрас. Привыкла спать на более твердом. Не помешали бы наматрасники. Внешний вид матраса не очень.
За кроватями в щелях пыльно.",0
102,"всё было хорошо, но матрац на кровати не очень))) пружины практически впиваются в спину ",0
103,"Номера нормальные. Персонал вежлив. Решает быстро всё проблемы. Тихо. Вода вмеулеоах на этаже. Завтрак Кага, бутерброд. От метро надо немного пройти. Но цена очень привлекательна. Останавливаюсь не в первый раз. Приеду еще",1
104,"Мягкий очень матрас, на любителя, нет ведра и мыла для рук в туалете. Нет маскитной сетки на окнах, но всё решает кондиционер.",0
105,"Это мой первый опыт проживания в хостеле и в целом я довольна☺️
При бронировании не увидела инфо, что 5 этаж без лифта, а это было критически важно, но решили вопрос с багажом на месте вместе с чудесным администратором Кристиной.",1
106,"Окна номера выходили на Алтуфьевское шоссе. В номере нет кондиционера, а при открытом окне шум ужасный днем и ночью! Я обычно шум не замечаю, но тут реально спать мешает! Туалет и ванная комната в номере twin один на два номера, а предбанник крошечный. Если в соседней комнате живёт тоже один человек, то это не проблема. А если соседей больше двух, то уже неудобно. Двери в комнаты закрываются очень шумно, соседи до часу ночи ходили по очереди в ванну и туалет, и я не могла заснуть от этого грохота… Туалет совсем крошечный, не знаешь, как повернуться - колени в дверь упираются)) Может быть, это только в моём номере…",0
107,"Очень круто, что постельное белье и полотенца предусмотрены в стоимости аренды. Расположение очень удобное, из центра в любое направление.",1
108,"Отличное место расположения. Приехали в Москву на поезде на казанский вокзал и оттуда пешком дошли до отеля. Есть камера хранения, где можно оставить вещи если вы приехали раньше. Метро через дорогу, кафешки, магазины всё рядом. В номере есть небольшая кухня. Мы бронировали с завтраком и вечером нам его оставлять в номере.",1
109,"Чистота, очень милый администратор, есть кафе с завтраками/обедами/ужинами, что очень порадовало, соседей не слышно, отличная цветовая гамма номера",1
110,"Уточнили какую лучше кровать  одну большую или две. Попросили одну большую ,так как ребенок 4 лет был без предоставления спального места.в итоге вместо большой  нам сдвинули две кровати из-за этого неудобно было спать.",0
111,"Чистота. Наличие холодной и горячей воды, в номере чайник, микроволновая печь,холодильник,немного посуды,приборы. Чай,сахар и соль.",1
112,"Отличное месторасположение. Минут 15 неспешной ходьбы до метро Третьяковская. Пешком по историческим улицам можно дойти до Третьяковской галереи, Болотной площади, Третьяковской пристани да и до Кремля. Под боком театр Луны, находится на старинной улице Малая Ордынка. 
Чисто, кофе, чай, сахар на кухне бесплатно.",1
113,Хотелось бы чтобы персонал следил за техническим состоянием апартаментов. Хотя бы элементарно меняли лампочки в люстре и светильниках. В номере давно царит полумрак. На кроватях не помешал хотя бы не очень толстый наматрасник.,0
114,"Не смотря на цены как в хостеле, качества проживание на максимально высоком уровне. Чистая комната, вежливый персонал.",1
115,Плохая шумоизоляция.  Слышно соседей и все что происходит за дверью в коридоре,0
116,"Особых замечаний за такую цену быть не должно. Как пожелание, сделать места для отдыха поинтереснее, кафе, бары... Но я думаю это все будет в новом корпусе, тогда и отель будет выше статусом. Придраться можно к чему угодно, но у меня такой цели нет-нет хорошо",0
117,"Мы бронировали только для сна, были одну ночь , в целом неплохо, сначала не могли найти отель , расположение не удобное, а в целом все устроило .",1
118,"Место расположения отличное. Мы приехали с маленьким ребёнком и вокруг много парков для прогулок и детских площадок. Кроме того место довольно тихое хотя рядом проспект Мира, что тоже удобно так как много транспорта ходит рядом. Вид из окна хороший. Внутри номера все нас устроило, только хотелось бы чтобы были пакетики чая и кофе.",1
119,"Останавливаемся в данном отеле не в первый раз. Удобное расположение: рядом метро, ВДНХ, магазины, аптеки. В отеле чисто, персонал вежливый, вкусные завтраки и обеды. Будем приезжать сюда ещё.",1
120,Нет.,0
121,"Очень хорошее расположение, потому что реально близко от метро, рядом магазин Пятерочка, матрасы удобные, белье белое чистое, туалеты и душевые хорошие, цена доступная.",1
122,"От метро близко, но будьте готовы идти по темной глухой улице паралельно линии МЦД",0
123,"Удобное местоположение, приятное оформление внутри, большая кровать, довольно тихо, большая ванная комната.",1
124,"Понравилось всё, в номере чисто, свежо. Внимательный персонал. Всё описание на сайте соответствует действительности",1
125,"Отель соответствует описанию на сайте, поэтому никаких претензий нет)",0
126,"Отношение к клиентам не понравилось,",0
127,"Расположение шикарное. Прогулки по улочкам впечатляли. В 400м супермаркет. На каждом шагу рестораны с терассами, кафе, уличная еда.",1
128,Все испортил запах канализации и сырости в туалете-душе.,0
129,"Холл и административная стойка конечно не впечатлили, не уютно, серо, мало света, какой то неприятный запах из смеси табака и ещё чего то...И первая моя реакция была - разочарование выбора гостиницы. Но качество самого номера меня приятно удивило и сгладило все неприятные сомнения. Надеюсь в дальнейшем обновят входную группу. Завтрак не плохой, но хотелось бы лучше.",0
130,"Апараменты чистые. В номере тихо и вполне уютно. Обслуживание нормальное. Все просьбы оперативно пытались удовлетворить. Отличное месторасположение, совсем рядом метро и магазины.",1
131,"Забронировал номер заранее. Брал номер на сутки. От метро близко. Рядом Пятёрочка, кофейня, макдональс. Места общего пользования в хорошем состоянии. Всё чистеньтко.",1
132,"На территории гостиничного комплекса  полно деревьев. Хорошее расположение, рядом ВДНХ, парк, река Яуза. По питанию не знаю, не брали, а так у кого включен завтрак, в комплексе есть ресторан со шведским столом, столовая (на момент проживания не работала). А так на территории ВДНХ полно кафешек (дороговато) и фуд-кортов.",1
133,"Немного было шумно, из- за людей, которые там живут,  нромко разговаривали.",0
134,"замечательная гостиница! номера чистые, уютные, есть телевизор, кондиционер и wi-fi! зубные щетки, паста и всё остальные принадлежности для личной гигиены имеются в достаточных количествах) расположение 5 минут от Кремля! очень вежливый персонал
заселились быстро и без проблем , были в первый раз, надеюсь не в последний!)",1
135,"Маленькие, усталые номера и мебель. Запах в номере сигарет .  Ванная комната очень тесная. С детьми 3х местный номер маловат однозначно, тянет на номер для 2х. В гостинице нужно проводить косметический ремонт.",0
136,"Маленькая площадь номера, но за свою цену нормально",0
